timestamp_utc,event,split,step,epoch,metric,value,details
2026-05-02T20:14:13Z,run_start,train,,,train_samples,3118,"{""artifact_dir"": ""submission+artifacts/runs/r8_choice_split1024_s42_b2"", ""eval_csv"": ""data/strict_split_balanced/val.csv"", ""output_dir"": ""outputs/r8_choice_split1024_s42_b2"", ""train_csvs"": [""data/strict_split_balanced/train.csv""]}"
2026-05-02T20:14:13Z,run_start,train,,,epochs,3.0,"{""artifact_dir"": ""submission+artifacts/runs/r8_choice_split1024_s42_b2"", ""eval_csv"": ""data/strict_split_balanced/val.csv"", ""output_dir"": ""outputs/r8_choice_split1024_s42_b2"", ""train_csvs"": [""data/strict_split_balanced/train.csv""]}"
2026-05-02T20:14:13Z,run_start,train,,,max_steps,-1,"{""artifact_dir"": ""submission+artifacts/runs/r8_choice_split1024_s42_b2"", ""eval_csv"": ""data/strict_split_balanced/val.csv"", ""output_dir"": ""outputs/r8_choice_split1024_s42_b2"", ""train_csvs"": [""data/strict_split_balanced/train.csv""]}"
2026-05-02T20:14:13Z,run_start,train,,,batch_size,2,"{""artifact_dir"": ""submission+artifacts/runs/r8_choice_split1024_s42_b2"", ""eval_csv"": ""data/strict_split_balanced/val.csv"", ""output_dir"": ""outputs/r8_choice_split1024_s42_b2"", ""train_csvs"": [""data/strict_split_balanced/train.csv""]}"
2026-05-02T20:14:13Z,run_start,train,,,grad_accum_steps,8,"{""artifact_dir"": ""submission+artifacts/runs/r8_choice_split1024_s42_b2"", ""eval_csv"": ""data/strict_split_balanced/val.csv"", ""output_dir"": ""outputs/r8_choice_split1024_s42_b2"", ""train_csvs"": [""data/strict_split_balanced/train.csv""]}"
2026-05-02T20:14:13Z,run_start,train,,,learning_rate,0.0002,"{""artifact_dir"": ""submission+artifacts/runs/r8_choice_split1024_s42_b2"", ""eval_csv"": ""data/strict_split_balanced/val.csv"", ""output_dir"": ""outputs/r8_choice_split1024_s42_b2"", ""train_csvs"": [""data/strict_split_balanced/train.csv""]}"
2026-05-02T20:14:13Z,run_start,train,,,train_objective,choice_ranking,"{""artifact_dir"": ""submission+artifacts/runs/r8_choice_split1024_s42_b2"", ""eval_csv"": ""data/strict_split_balanced/val.csv"", ""output_dir"": ""outputs/r8_choice_split1024_s42_b2"", ""train_csvs"": [""data/strict_split_balanced/train.csv""]}"
2026-05-02T20:14:13Z,run_start,train,,,choice_score_normalization,sum,"{""artifact_dir"": ""submission+artifacts/runs/r8_choice_split1024_s42_b2"", ""eval_csv"": ""data/strict_split_balanced/val.csv"", ""output_dir"": ""outputs/r8_choice_split1024_s42_b2"", ""train_csvs"": [""data/strict_split_balanced/train.csv""]}"
2026-05-02T20:14:33Z,train_log,train,10,0.05131494547787043,loss,12.712185668945313,{}
2026-05-02T20:14:33Z,train_log,train,10,0.05131494547787043,grad_norm,42.39816665649414,{}
2026-05-02T20:14:33Z,train_log,train,10,0.05131494547787043,learning_rate,0.0001,{}
2026-05-02T20:14:49Z,train_log,train,20,0.10262989095574086,loss,10.358441162109376,{}
2026-05-02T20:14:49Z,train_log,train,20,0.10262989095574086,grad_norm,29.715471267700195,{}
2026-05-02T20:14:49Z,train_log,train,20,0.10262989095574086,learning_rate,0.00019999846502070806,{}
2026-05-02T20:15:05Z,train_log,train,30,0.1539448364336113,loss,7.797769165039062,{}
2026-05-02T20:15:05Z,train_log,train,30,0.1539448364336113,grad_norm,24.600440979003906,{}
2026-05-02T20:15:05Z,train_log,train,30,0.1539448364336113,learning_rate,0.00019981432451795684,{}
2026-05-02T20:15:21Z,train_log,train,40,0.20525978191148173,loss,7.491721343994141,{}
2026-05-02T20:15:21Z,train_log,train,40,0.20525978191148173,grad_norm,18.876995086669922,{}
2026-05-02T20:15:21Z,train_log,train,40,0.20525978191148173,learning_rate,0.00019932383577419432,{}
2026-05-02T20:15:36Z,train_log,train,50,0.25657472738935216,loss,6.500074005126953,{}
2026-05-02T20:15:36Z,train_log,train,50,0.25657472738935216,grad_norm,18.22726058959961,{}
2026-05-02T20:15:36Z,train_log,train,50,0.25657472738935216,learning_rate,0.00019852850418821582,{}
